Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,WAR,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.475734001110099,11.1814383763784,Aaron Judge,15640,592450
Bobby Witt Jr.,KCR,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.409738353746278,10.3760000964558,Bobby Witt Jr.,25764,677951
Shohei Ohtani,LAD,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.430549291764129,9.07529866042243,Shohei Ohtani,19755,660271
Juan Soto,NYY,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.420584881942819,8.14422630937101,Juan Soto,20123,665742
Gunnar Henderson,BAL,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387,8.01690111954763,Gunnar Henderson,26289,683002
Francisco Lindor,NYM,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.362885814965723,7.77200386980282,Francisco Lindor,12916,596019
Jarren Duran,BOS,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.356867390228651,6.66420507277525,Jarren Duran,24617,680776
José Ramírez,CLE,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.364276273011805,6.45184740335197,Jose Ramirez,13510,608070
Elly De La Cruz,CIN,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.348648240283735,6.42901346660096,Elly De La Cruz,26668,682829
Ketel Marte,ARI,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.390999548033708,6.27575724102855,Ketel Marte,13613,606466
Matt Chapman,SFG,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.34013576694527,5.4509491616653,Matt Chapman,16505,656305
William Contreras,MIL,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.358727183734628,5.42220494274458,William Contreras,20503,661388
Cal Raleigh,SEA,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.322566418120494,5.40904638156289,Cal Raleigh,21534,663728
Vladimir Guerrero Jr.,TOR,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.397890222768714,5.39213139500842,Vladimir Guerrero Jr.,19611,665489
Jackson Merrill,SDP,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,5.28015977279829,Jackson Merrill,29490,701538
Yordan Alvarez,HOU,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.401587369753972,5.2617050624088,Yordan Alvarez,19556,670541
Bryce Harper,PHI,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.380217063407713,5.1945676662668,Bryce Harper,11579,547180
Brent Rooker,OAK,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.39218441668104,5.13643470011964,Brent Rooker,19627,667670
Willy Adames,MIL,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.341931815391039,4.76352223394279,Willy Adames,15986,642715
Marcell Ozuna,ATL,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.394502133348562,4.6749053557488,Marcell Ozuna,10324,542303
Corey Seager,TEX,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,4.55348457291599,Corey Seager,13624,608369
Mookie Betts,LAD,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.370968951557397,4.39148085638821,Mookie Betts,13611,605141
Jurickson Profar,SDP,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,4.29367666201032,Jurickson Profar,10815,595777
Dansby Swanson,CHC,0.091062394,0.242833052,0.147940075,0.299734748,0.241573033,0.311973018,0.389513108,0.306569408845982,4.28939145928293,Dansby Swanson,18314,621020
Marcus Semien,TEX,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.30588280763373,4.17172989758439,Marcus Semien,12533,543760
Steven Kwan,CLE,0.098148148,0.094444444,0.133333334,0.303614457,0.291666666,0.368029739,0.425,0.349448609418585,4.13959961161213,Steven Kwan,24610,680757
Rafael Devers,BOS,0.111480865,0.244592346,0.243809524,0.323033707,0.272380952,0.354409317,0.516190476,0.364027832801338,4.13136272835254,Rafael Devers,17350,646240
Alex Bregman,HOU,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.330704211529586,4.12909553963984,Alex Bregman,17678,608324
Freddie Freeman,LAD,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.377742946,0.47601476,0.365357109492079,4.0634347175821,Freddie Freeman,5361,518692
Corbin Carroll,ARI,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.324860307701184,4.0364067812353,Corbin Carroll,25878,682998
Riley Greene,DET,0.109589041,0.267123287,0.216796875,0.329341317,0.26171875,0.34819897,0.478515625,0.355396239613665,4.00928490086383,Riley Greene,25976,682985
Colton Cowser,BAL,0.092691622,0.306595365,0.204408818,0.316993464,0.242484969,0.320855614,0.446893787,0.331457473404292,4.00465528827888,Colton Cowser,29591,681297
Jazz Chisholm Jr.,- - -,0.085346215,0.244766505,0.179715302,0.30927835,0.256227758,0.323671497,0.43594306,0.327297447079962,3.9918801419155,Jazz Chisholm Jr.,20454,665862
Nico Hoerner,CHC,0.068642745,0.102964118,0.099656357,0.296875,0.273195876,0.335413416,0.372852233,0.313119012955576,3.98573707226888,Nico Hoerner,21479,663538
Jose Altuve,HOU,0.068914956,0.174486803,0.144904458,0.337423312,0.294585987,0.350439882,0.439490445,0.344237520589548,3.93572058290803,Jose Altuve,5417,514888
Trea Turner,PHI,0.050092764,0.181818181,0.174257426,0.330749354,0.295049504,0.337662337,0.46930693,0.349066551408432,3.91831309341623,Trea Turner,16252,607208
Jackson Chourio,MIL,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.338549699057156,3.90965183449808,Jackson Chourio,28806,694192
Julio Rodríguez,SEA,0.061990212,0.254486133,0.135802469,0.34351145,0.273368606,0.324632952,0.409171075,0.320553364025222,3.88135705970448,Julio Rodriguez,23697,677594
Eugenio Suárez,ARI,0.0765625,0.275,0.213660246,0.308510638,0.255691768,0.31875,0.469352014,0.337295149080455,3.80165364636882,Eugenio Suarez,12552,553993
Ezequiel Tovar,COL,0.033093525,0.287769784,0.2,0.344036697,0.26870229,0.294629898,0.46870229,0.324409916563783,3.68864896233865,Ezequiel Tovar,24064,678662
Brenton Doyle,COL,0.07628524,0.253731343,0.186346863,0.315508021,0.260147601,0.317195325,0.446494464,0.327981299381192,3.64240543013098,Brenton Doyle,25479,686668
Ian Happ,CHC,0.121765601,0.255707762,0.198594025,0.298941798,0.242530755,0.340943683,0.44112478,0.341044917884396,3.59722506206453,Ian Happ,17919,664023
Masyn Winn,STL,0.064364207,0.171114599,0.148211244,0.303418803,0.267461669,0.313880126,0.415672913,0.315483457292614,3.58462862349252,Masyn Winn,27479,691026
Seiya Suzuki,CHC,0.107692307,0.273504273,0.19921875,0.370149253,0.283203125,0.365811965,0.482421875,0.364872846918827,3.55249423979156,Seiya Suzuki,30116,673548
Manny Machado,SDP,0.069984447,0.192846034,0.197301855,0.301801801,0.274873524,0.32503888,0.472175379,0.339664536892339,3.54869866091264,Manny Machado,11493,592518
Oneil Cruz,PIT,0.085141903,0.302170283,0.190388171,0.346938775,0.258780036,0.323873121,0.449168207,0.331016150488195,3.51724609763573,Oneil Cruz,21711,665833
Alec Bohm,PHI,0.0660066,0.141914191,0.167870036,0.305010893,0.279783393,0.331683168,0.447653429,0.335279038212947,3.50944947559349,Alec Bohm,21618,664761
Teoscar Hernández,LAD,0.081288343,0.288343558,0.229202037,0.344173441,0.271646859,0.339477726,0.500848896,0.359840165041847,3.50137914269258,Teoscar Hernandez,13066,606192
Zach Neto,LAA,0.064784053,0.232558139,0.193726938,0.294736842,0.24907749,0.317725752,0.442804428,0.32995627543435,3.49101332196498,Zach Neto,31347,687263
Kyle Schwarber,PHI,0.15317919,0.28468208,0.237347295,0.300578034,0.247818499,0.365606936,0.485165794,0.365807570776967,3.42077649895412,Kyle Schwarber,16478,656941
Anthony Volpe,NYY,0.06095791,0.226415094,0.120879121,0.302966101,0.2433281,0.293002915,0.364207221,0.287352306651373,3.40415259934738,Anthony Volpe,27647,683011
Isaac Paredes,- - -,0.118564742,0.163806552,0.154981549,0.259433962,0.23800738,0.346333853,0.392988929,0.327380766424588,3.39545819946177,Isaac Paredes,20036,670623
Anthony Santander,BAL,0.087218045,0.193984962,0.270588235,0.224824355,0.235294117,0.308270676,0.505882352,0.345174366343778,3.31686880516501,Anthony Santander,14551,623993
Daulton Varsho,TOR,0.093567251,0.26705653,0.193899782,0.262295081,0.213507625,0.29296875,0.407407407,0.304275134421608,3.2967132740119,Daulton Varsho,19918,662139
Brendan Donovan,STL,0.072085889,0.124233128,0.139693356,0.299798792,0.277683134,0.342024539,0.41737649,0.33223725133147,3.24897781026701,Brendan Donovan,24679,680977
JJ Bleday,OAK,0.10436137,0.194704049,0.194055944,0.278688524,0.243006993,0.324492979,0.437062937,0.33021923363302,3.17921494660818,JJ Bleday,26368,668709
Salvador Perez,KCR,0.067484662,0.19785276,0.184745763,0.302272727,0.27118644,0.330261136,0.455932203,0.335023837204663,3.17283955593553,Salvador Perez,7304,521692
Nolan Arenado,STL,0.069291338,0.144881889,0.12283737,0.295597484,0.271626297,0.324921135,0.394463667,0.313658786253839,3.13940348422775,Nolan Arenado,9777,571448
Joey Ortiz,MIL,0.109589041,0.201565557,0.159090909,0.28313253,0.238636363,0.328740157,0.397727272,0.318713722383882,3.13930094544481,Joey Ortiz,25493,687401
Willi Castro,MIN,0.08031496,0.236220472,0.137992832,0.315,0.247311827,0.331230283,0.385304659,0.317123606754026,3.10096316281856,Willi Castro,17338,650489
Luis García Jr.,WSN,0.051136363,0.162878787,0.162,0.309823677,0.282,0.318181818,0.444,0.328133589641223,3.05598576123861,Luis Garcia Jr.,20391,671277
Yainer Diaz,HOU,0.038772213,0.17285945,0.141880342,0.338297872,0.299145299,0.324717285,0.441025641,0.328818916502894,3.04205713411813,Yainer Diaz,23003,673237
Carlos Santana,MIN,0.109427609,0.166666666,0.182341651,0.251870324,0.238003838,0.328282828,0.420345489,0.326450448451712,3.02481734255599,Carlos Santana,2396,467793
Christian Walker,ARI,0.099637681,0.240942028,0.217118998,0.286585365,0.25052192,0.335144927,0.467640918,0.343447816524192,3.01290285606895,Christian Walker,13419,572233
Tyler Stephenson,CIN,0.093203883,0.227184466,0.185995623,0.306501547,0.258205689,0.337864077,0.444201312,0.339362259264346,2.97810099120861,Tyler Stephenson,17988,663886
Wyatt Langford,TEX,0.091561938,0.206463195,0.162324649,0.296495956,0.25250501,0.324955116,0.414829659,0.321105006046674,2.9410394464889,Wyatt Langford,33333,694671
Adley Rutschman,BAL,0.09090909,0.161442006,0.140105079,0.271929824,0.250437828,0.318181818,0.390542907,0.308902289642124,2.83781817169759,Adley Rutschman,26288,668939
Nathaniel Lowe,TEX,0.125663716,0.221238938,0.135802469,0.323782234,0.265432098,0.361061946,0.401234567,0.337267678257421,2.82300576557942,Nathaniel Lowe,19566,663993
Josh Smith,TEX,0.077702702,0.204391891,0.135755258,0.311224489,0.258126195,0.337288135,0.393881453,0.322713497336733,2.81197025063714,Josh Smith,26396,669701
Jeremy Peña,HOU,0.038461538,0.17076923,0.127906977,0.300829875,0.26578073,0.307573415,0.393687707,0.305057324399889,2.80124887280565,Jeremy Pena,21636,665161
Jonathan India,CIN,0.125588697,0.196232339,0.144465291,0.2925,0.247654784,0.357480314,0.392120075,0.333371093329482,2.79897954218961,Jonathan India,21523,663697
Andrés Giménez,CLE,0.041074249,0.153238546,0.087478559,0.285714285,0.252144082,0.298412698,0.339622641,0.281497778782594,2.77057433436721,Andres Gimenez,19950,665926
Brandon Nimmo,NYM,0.116138763,0.238310708,0.175131348,0.267175572,0.224168126,0.32730015,0.399299474,0.32051343887234,2.7369489536231,Brandon Nimmo,12927,607043
Taylor Ward,LAA,0.095022624,0.245852187,0.179487179,0.29382716,0.246153846,0.322775263,0.425641025,0.325381519298208,2.71901674971562,Taylor Ward,17548,621493
Will Smith,LAD,0.09375,0.193014705,0.18487395,0.272980501,0.247899159,0.327205882,0.432773109,0.3257519090929,2.70517103032711,Will Smith,19197,669257
Jacob Young,WSN,0.057581573,0.195777351,0.074786325,0.320547945,0.256410256,0.31640625,0.331196581,0.289607538841665,2.60570884174851,Jacob Young,29931,696285
Matt Vierling,DET,0.072310405,0.21340388,0.166023166,0.303108808,0.256756756,0.312169312,0.422779922,0.317415749331666,2.5658333560576,Matt Vierling,21558,663837
